L,T,avg_energy,std_energy,specific_heat,avg_magnetization,avg_abs_magnetization,std_magnetization,susceptibility
30,0.015,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.03,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.045,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.06,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.075,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.09,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.105,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.12,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.135,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.15,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.165,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.18,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.195,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.21,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.225,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.24,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.255,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.27,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.285,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.3,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.315,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.33,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.345,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.36,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.375,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.39,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.405,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.42,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.435,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.45,-1800.0,0.0,0.0,1.0,1.0,0.0,0.0
30,0.465,-1799.9994666666666,0.06531754911371233,2.1923573412754125e-05,0.9999998518518519,0.9999998518518519,1.8143763642697988e-05,7.866093280523032e-13
30,0.48,-1799.9992,0.07999599989999502,3.0861111206180754e-05,0.9999997777777777,0.9999997777777777,2.222111108333209e-05,1.1430044153957784e-12
30,0.495,-1799.9997333333333,0.04618725172839603,9.673669934103837e-06,0.9999999259259259,0.9999999259259259,1.282979214677676e-05,3.694809765536981e-13
30,0.51,-1799.9989333333333,0.09236988446217499,3.6448354701259684e-05,-0.9999997037037038,0.9999997037037038,2.5658301239493223e-05,1.4343097032032791e-12
30,0.525,-1799.9973333333332,0.14603500341432604,8.597116636731337e-05,-0.9999992592592591,0.9999992592592591,4.056527872620195e-05,3.4826288825154123e-12
30,0.54,-1799.996,0.1788407112488653,0.00012187166590878939,0.9999988888888889,0.9999988888888889,4.967797534690732e-05,5.077986271071321e-12
30,0.555,-1799.9953333333333,0.19726012155414369,0.00014036218354591674,-0.9999986666666666,0.9999986666666666,5.736203702956435e-05,6.58739440484157e-12
30,0.57,-1799.9936,0.22618364220252532,0.00017495653387733046,-0.9999982222222221,0.9999982222222221,6.282878950070188e-05,7.694848224058395e-12
30,0.585,-1799.9898666666666,0.2845417055937886,0.0002628679401460352,-0.9999971851851852,0.9999971851851852,7.903936266494178e-05,1.1865566459104013e-11
30,0.6,-1799.9866666666667,0.32632635334721116,0.00032866940931359557,-0.9999962962962962,0.9999962962962962,9.064620926311477e-05,1.5216176878167456e-11
30,0.615,-1799.9789333333333,0.4099872301534389,0.0004937963999493256,-0.9999941481481481,0.9999941481481481,0.00011388534170928932,2.343246805063492e-11
30,0.63,-1799.9821333333334,0.37764284126083403,0.00039924446542715687,-0.999995037037037,0.999995037037037,0.00010490078923912124,1.940771744762942e-11
30,0.645,-1799.9686666666666,0.5055210733051152,0.0006825218988165026,0.9999912592592594,0.9999912592592594,0.00014144222841164654,3.4463227945651906e-11
30,0.66,-1799.9632,0.5413370114817571,0.0007474894401907264,-0.9999897777777778,0.9999897777777778,0.00015037139207826683,3.806659177922634e-11
30,0.675,-1799.9457333333332,0.6611014512833024,0.0010658256463153461,0.9999848888888887,0.9999848888888887,0.00018441891835861127,5.598409509182971e-11
30,0.69,-1799.9301333333333,0.7493454803285924,0.0013104591684869724,0.9999805185185185,0.9999805185185185,0.00020952400165669265,7.06929263740733e-11
30,0.705,-1799.9110666666666,0.8441707146990799,0.0015930881981064738,-0.9999751851851854,0.9999751851851854,0.00023631574284313227,8.80143892274476e-11
30,0.72,-1799.8933333333334,0.9256829310778552,0.0018366102727825674,0.9999702222222222,0.9999702222222222,0.0002593480906017361,1.0379850631278039e-10
30,0.735,-1799.8709333333334,1.015287379130767,0.0021201216824176783,0.999964,0.999964,0.0002840410333771801,1.219641854546902e-10
30,0.75,-1799.8253333333334,1.1894641183696504,0.0027947158292855744,0.9999512592592593,0.9999512592592593,0.0003329795324019626,1.6425980575718314e-10
30,0.765,-1799.7897333333333,1.3076395765738442,0.0032464650589140174,0.9999412592592593,0.9999412592592593,0.0003669557483702966,1.9557955158571206e-10
30,0.78,-1799.738,1.4606468886535628,0.003896357171986935,-0.9999267407407407,0.9999267407407407,0.00041063956273124953,2.4020633978242996e-10
30,0.795,-1799.6926666666666,1.574784500248279,0.004359789253452434,-0.999914148148148,0.999914148148148,0.00044188596310538905,2.729045485595625e-10
30,0.81,-1799.6048,1.7836527016210302,0.005387757557227834,-0.9998894074074074,0.9998894074074074,0.0005016349182631267,3.45181880944746e-10
30,0.825,-1799.5421333333334,1.912613774103096,0.0059717848361809526,-0.9998716296296295,0.9998716296296295,0.0005399116474995032,3.925987708518437e-10
30,0.84,-1799.4654666666668,2.0724560587755665,0.006763470198793217,-0.9998501481481481,0.9998501481481481,0.0005849388651769664,4.5258396325164447e-10
30,0.855,-1799.3662666666667,2.260379480431451,0.007765831682842926,-0.9998225925925927,0.9998225925925927,0.0006370972193794446,5.274761101515604e-10
30,0.87,-1799.2425333333333,2.4730233013234812,0.008977913196802776,0.9997867407407407,0.9997867407407407,0.0007037479869107543,6.325175338795081e-10
30,0.885,-1799.1132,2.6880945717490428,0.010250853737371,0.9997511851851852,0.9997511851851852,0.0007599982636612948,7.251693165185556e-10
30,0.9,-1798.978,2.8748650982843236,0.011337241883528902,-0.9997125925925925,0.9997125925925925,0.0008161120985967571,8.22270317952981e-10
30,0.915,-1798.8090666666667,3.0982701295328585,0.012739543392745791,-0.9996653333333333,0.9996653333333333,0.0008801037350006814,9.40598159570522e-10
30,0.93,-1798.6133333333332,3.350834058691789,0.014424389318316851,-0.9996097777777777,0.9996097777777777,0.0009524444790100467,1.083811810907317e-09
30,0.945,-1798.3950666666667,3.6329862366317265,0.016421823447431972,-0.9995473333333332,0.9995473333333332,0.0010375810187018568,1.265813486819369e-09
30,0.96,-1798.1876,3.84555235391051,0.017829225630015978,-0.9994895555555554,0.9994895555555554,0.0010954554307789342,1.3889150476593587e-09
30,0.975,-1797.9502666666667,4.119505625139449,0.019835285669339217,-0.9994203703703703,0.9994203703703703,0.0011821706453986525,1.5926238572952855e-09
30,0.99,-1797.6258666666668,4.4378700877285215,0.022327303240361265,-0.9993270370370368,0.9993270370370368,0.0012781003886888343,1.8333789044846989e-09
30,1.005,-1797.3764,4.661722468501673,0.023906620983543108,0.9992560740740739,0.9992560740740739,0.0013449456284490634,1.99986594105137e-09
30,1.02,-1797.0025333333333,4.97923624486951,0.02647784354542436,-0.9991477777777776,0.9991477777777776,0.0014439789848339202,2.27132386585541e-09
30,1.035,-1796.6182666666666,5.291113272480776,0.029038281367617203,-0.9990377777777776,0.9990377777777776,0.001539030211454464,2.5427954826132435e-09
30,1.05,-1796.2081333333333,5.582246905642526,0.03140486824462548,-0.9989212592592591,0.9989212592592591,0.0016191058024265525,2.774077883336972e-09
30,1.065,-1795.7909333333334,5.924234785654225,0.03438133997033718,-0.9987997777777777,0.9987997777777777,0.0017279955656474206,3.115251617093858e-09
30,1.08,-1795.3022666666666,6.20297521588543,0.03665304596227408,-0.9986608148148147,0.9986608148148147,0.0018048855493811554,3.3514525168576353e-09
30,1.095,-1794.7364,6.639004571972116,0.040844650822402774,-0.9984924444444444,0.9984924444444444,0.0019493674483174544,3.8559446460543e-09
30,1.11,-1794.1896,6.983889926585803,0.04398517301733538,-0.9983346666666665,0.9983346666666665,0.0020505540433682057,4.208980865985014e-09
